Dusun,English,Type,Malay,Category,Variants
"Nuhot dih Mary, ""Oruhai noh korikot ih baas?""","Mary asked, “Is the bus coming soon?”",sentence,"Mary asked, “Is the bus coming soon?”",dialog,
"Nuhot dih sigu, ""Nokosolimpuun noh palajaran?""","The teacher asked, “Has the lesson started?”",sentence,"Guru itu bertanya, “Adakah pelajaran sudah bermula?”",dialog,
"nuhot ku daa mantad ih John nga amu yau pinapabanar doho","I asked John earlier but he wouldn't let me",sentence,"saya sudah tanya John awal-awal lagi tapi dia tidak benarkan saya",declarative,
"nuhot nu ih sigu?","did you ask teacher?",sentence,"ada kamu tanya cikgu?",interrogative,
nuhupan,assisted,"verb ","telah dibantu",past,
nuhupan,helped,"verb ","telah dibantu",past,
"nuhupan dih sigu ih tongo budak sikul mongintutun dih kolomokon diyolo","the teacher helped students identify their weaknesses",sentence,"guru membantu pelajar mengenalpasti kelemahan mereka",declarative,
"nuhupan dih tongo tiim panyalamat ih tongo koluarga noluyudan","rescue teams helped families affected by the flood",sentence,"pasukan penyelamat membantu keluarga yang terjejas akibat banjir",declarative,
"nuhupan ko dih John mogihum tungau nu?","did John help you find your cat?",sentence,"ada kamu dibantu oleh John mencari kucing kamu ?",interrogative,
"nuhupan ku ih John mogihum dih tungau dau","I helped John find his cat",sentence,"saya telah membantu John mencari kucingnya",declarative,
"nuhupan oku dih John mogihum dih tungau ku natagak","I was helped by John to find my lost cat",sentence,"saya telah dibantu oleh John mencari kucing saya yang hilang",declarative,
nukab,opened,verb,"telah dibuka",past,
"nulakan ku ih gajah","I stepped on that elephant",sentence,"saya pijak gajah itu",declarative,
nuluhon,hill,noun,bukit,nature,
"numaik ih gred nu nung atatap ko balajar","your grades will improve if you study consistently",sentence,"gred kamu akan meningkat jika kamu belajar secara konsisten",declarative,
"numaik noh horogo doh disil","diesel prices are going up",sentence,"harga diesel sedang naik",declarative,
numbalan,tried,verb,"telah dicuba",past,
numbur,number,noun,nombor,"time, events & quantities",
"nundar dahai ih misin dih naraag","we repaired the broken machine",sentence,"kami membetulkan mesin yang rosak",declarative,
nung,if,connector,jika,conjunction,
nung,if,connector,jikalau,conjunction,
nung,"even if",conjunction,walaupun,,
"nung aharap ko nopo doho om, pootodon ku ih sumandak nu muli","If you trust me, I’ll send your girlfriend home",sentence,"kalau kamu harap saya, saya akan hantar teman wanita kamu balik rumah",declarative,
"nung amu oku pia okito iya nga osorou ku kasari iya","you may be out of sight, but you're never out of my mind",sentence,"awak mungkin hilang dari pandangan tetapi awak tidak pernah hilang dari fikiran saya",declarative,
"nung arajin ko nopo mamaja, om gumamut ino mangga nu doh talaid","if you fertilize diligently, your mango tree will eventually take root",sentence,"kalau kamu rajin membaja, mangga kamu akan berakar akhirnya",declarative,
"nung haro nopo masalah ku, uhupan oku dih John","if I had problem, John would help me",sentence,"jika saya menghadapi masalah, John akan membantu saya",declarative,
"nung haro tinggin ti buut, amu ko noh osusa mimbosi","if you have an engine for this boat, you don't have to row anymore",sentence,"kalau kamu ada enjin bot ini, tidak payah lagi kamu berdayung",declarative,
"nung mangakan ko nopo doh Panadol, mositi ko’d minum waig togumu","if you take Panadol, you must drink plenty of water",sentence,"kalau kamu makan Panadol, kamu mesti minum air yang banyak",declarative,
"nung momusorou oku nopo doh masa dapan, otood oku om tumangkabo oku nogi kadauu","if I think of the future, I feel both excited and worrie",sentence,"jika saya memikirkan masa depan, saya berasa teruja dan juga risau",declarative,
"nung muhang ko doho","if you love me",sentence,"kalau kamu cinta saya",declarative,
"nung olisi nopo yau doho, apatut manahak yau doho do komira","if she loves me, she should give me a camera",sentence,"kalau dia sayang saya, dia patut bagi saya kamera",declarative,
"nung orohian ko doh asalamat, pakaion noh tupi kolidar","if you want to be safe, wear a helmet",sentence,"kalau kau mau selamat, pakailah topi keledar",declarative,
"nung orohian ko nopo, tumilombus kito mongurus doh dokumen","if you want, we can proceed with the paperwork",sentence,"jika anda mahu, kita boleh teruskan dengan urusan dokumen",declarative,
"nung otogod ko nopo, mogidu oku","if you are angry, I will go away",sentence,"kalau kamu marah, saya akan beredar",declarative,
"nung rumasam nopo, amu yahai lumabus","if it rains, we will not go out",sentence,"Kalau hujan, kami tidak akan keluar",declarative,
"nung sogitonon nopo tinan nu, iri noh tanda doh sogiton ko","if your body feels cold, it’s a sign that you have a fever",sentence,"kalau badan kamu rasa sejuk, itu adalah tanda kamu demam",declarative,
